,Country,Year,Metric tons in thousands_x,Metric tons in thousands_y
58,Denmark,1995,330.76300000000003,184.47699999999995
59,Developed economies: Asia,1995,105.19400000000006,3692.5149999999994
60,Developed economies: Asia and Oceania,1995,167.80100000000004,4292.924999999997
61,Developed economies: Oceania,1995,62.60400000000005,600.4060000000003
62,Developed regions (M49),1995,22686.57799999996,31432.729000000014
63,Developing economies excluding China,1995,40726.33399999999,55439.379999999976
64,Developing economies excluding LDCs,1995,55022.04999999999,55789.33099999995
65,Developing economies: Asia,1995,53503.40899999999,47981.674999999974
66,Developing economies: Asia and Oceania,1995,53503.40899999999,47981.674999999974
67,Developing regions (M49),1995,55066.21299999999,55795.51299999996
68,ECA (Economic Commission for Africa),1995,347.15199999999953,58.88700000000001
69,ECA: Central Africa,1995,1.2959999999999994,2.6039999999999996
70,ECA: Island economies,1995,2.8609999999999958,0.2800000000000002
71,ECA: Landlocked LDCs,1995,34.35599999999999,0.4640000000000003
72,ECA: Landlocked countries,1995,97.95200000000004,0.7640000000000006
73,ECA: Least developed countries,1995,41.44399999999998,0.4640000000000003
74,ECA: Mineral-rich countries,1995,92.84499999999997,0.7640000000000006
75,ECA: Non-oil LDCs,1995,40.035999999999994,0.4640000000000003
76,ECA: Non-oil Producing,1995,304.02999999999975,54.57800000000001
77,ECA: North Africa,1995,223.12599999999992,53.51099999999997
78,ECA: Oil producing economies,1995,43.10799999999998,4.308000000000002
79,ECA: Sahel,1995,10.124999999999996,2.6039999999999996
80,ECA: Small island States,1995,0.8560000000000005,0.2800000000000002
81,ECA: Southern Africa,1995,67.819,1.0670000000000006
82,ECA: West Africa,1995,29.80199999999999,1.7039999999999988
83,ECCAS (Economic Community of Central African States),1995,1.6339999999999981,2.6039999999999996
84,ECLAC (Economic Commission for Latin America and the Caribbean),1995,1215.6620000000007,7754.931999999998
85,ECLAC: Caribbean,1995,0.12000000000000004,0.3100000000000001
86,ECLAC: Latin America,1995,1215.5460000000005,7754.627999999998
87,ECO (Economic Cooperation Organization),1995,269.7060000000001,120.77600000000002
88,ECOWAS (Economic Community of West African States),1995,29.80199999999999,1.7039999999999988
89,EFTA (European Free Trade Association),1995,679.6709999999997,1148.5510000000004
90,EIEs (Emerging Industrial Economies) (UNIDO),1995,17674.166999999994,9312.023000000005
91,ESCAP (Economic and Social Commission for Asia and the Pacific),1995,53441.67700000004,52120.45499999996
92,ESCAP: Africa,1995,347.15199999999953,58.88700000000001
93,ESCAP: Countries with special needs,1995,2.7269999999999976,5.706999999999998
94,ESCAP: East and North-East Asia (ENEA),1995,51488.439,49813.55500000004
95,"ESCAP: East and North-East Asia, incl. the Russian Federation",1995,51488.439,49813.55500000004
96,ESCAP: Europe,1995,13510.906999999997,13624.951000000008
97,ESCAP: High-income economies (World Bank),1995,37372.59700000002,50752.22499999997
98,ESCAP: Latin America,1995,1215.6620000000007,7754.931999999998
99,ESCAP: Least developed countries,1995,2.7269999999999976,5.706999999999998
100,ESCAP: Lower-middle-income economies (World Bank),1995,1096.2020000000005,63.17600000000003
101,ESCAP: Other area,1995,229.534,154.14900000000011
102,ESCAP: Pacific,1995,62.60400000000005,600.4060000000003
103,ESCAP: Small islands developing States,1995,161.43499999999992,694.3979999999996
104,ESCAP: South and South-West Asia,1995,1365.8999999999999,183.94300000000007
105,ESCAP: Upper-middle-income economies (World Bank),1995,14972.881999999998,1305.0489999999993
106,ESCWA (Economic and Social Commission for Western Asia),1995,437.8989999999997,207.664
107,ESCWA: Arab countries,1995,452.6589999999998,207.664
108,ESCWA: Maghreb,1995,154.27100000000002,13.514000000000012
109,ESCWA: Mashreq,1995,71.85700000000003,42.82200000000001
110,EU15 (European Union 1995 … 2004),1995,12144.507000000003,11310.666000000005
111,EU25 (European Union 2004 … 2007),1995,12804.358000000011,12389.412000000008
112,EU27 (European Union 2007 … 2013),1995,12805.029000000011,12448.100000000006
113,EU28 (European Union 2013 … 2020),1995,12825.370000000015,12469.986000000008
114,Eastern Africa,1995,92.912,1.0670000000000006
115,Eastern Asia,1995,51488.439,49813.55500000004
116,Eastern Europe,1995,458.2099999999998,904.6329999999999
117,Eastern and South-Eastern Asia,1995,52013.15099999999,51336.10299999997
118,Ecuador,1995,59.829,2.3469999999999995
119,Egypt,1995,67.41499999999999,39.99100000000001
120,El Salvador,1995,67.03899999999997,1.0530000000000004
121,Emerging markets,1995,55080.04099999996,56462.80899999998
122,Emerging markets: Africa,1995,67.41499999999999,39.99100000000001
123,Emerging markets: America,1995,1049.364,7667.946999999998
124,Emerging markets: Asia,1995,53495.58799999998,47947.54099999996
125,Emerging markets: Europe and Kazakhstan,1995,467.667,807.3230000000003
126,Estonia,1995,21.166999999999994,10.331000000000001
127,Euro area,1995,11147.621000000003,9722.999999999998
128,Europe,1995,13510.906999999997,13624.951000000008
129,European Union (2020 …),1995,12080.350999999995,11275.186999999996
130,Finland,1995,22.093,35.16299999999998
131,G-77 (Group of 77),1995,17098.312000000016,2671.7989999999977
132,G20 (Group of Twenty),1995,39194.534000000014,38935.69899999995
133,G7 (Group of Seven),1995,14847.274999999998,23117.583999999988
134,G8 (Group of Eight),1995,14847.274999999998,23117.583999999988
135,GCC (The Cooperation Council for the Arab States of the Gulf),1995,225.09300000000013,151.317
136,GSTP (Global System of Trade Preferences among Developing Countries),1995,3342.2180000000008,9827.313000000011
137,GSTP: Africa,1995,288.92499999999967,56.442999999999984
138,GSTP: Asia,1995,1972.5220000000002,2056.776999999999
139,GSTP: Latin America,1995,1078.3269999999995,7708.075999999999
140,Germany,1995,1575.5250000000005,4252.785999999997
141,Greece,1995,310.08200000000005,44.92599999999998
142,Guatemala,1995,30.375000000000004,18.401999999999994
143,HIPCs (Heavily indebted poor countries) (IMF),1995,92.69299999999996,28.75299999999999
144,High-income OECD members (World Bank),1995,23082.681999999983,31823.086
145,High-income developing economies,1995,53350.01299999999,55461.62599999999
146,High-income economies (World Bank),1995,60193.41599999996,78094.09999999995
147,High-income non OECD members (World Bank),1995,37110.74299999999,46271.01399999999
148,Honduras,1995,6.867000000000002,0.4560000000000001
149,Hungary,1995,17.171,85.74399999999999
150,Iceland,1995,0.027000000000000017,30.161
151,India,1995,1093.486000000001,57.47100000000003
152,Industrialized economies (UNIDO),1995,59588.59899999998,77831.28799999999
153,Ireland,1995,1804.2050000000006,38.617000000000004
154,Israel,1995,0.0,0.0
155,Italy,1995,3413.5570000000025,462.6000000000002
156,Japan,1995,105.19400000000006,3692.5149999999994
157,Jordan,1995,4.445000000000001,2.830999999999999
158,"Korea, Republic of",1995,351.5839999999999,471.0510000000003
159,LAIA (Latin American Integration Association),1995,1078.8749999999998,7692.699999999996
160,LAS (League of Arab States),1995,452.6589999999998,207.664
161,LDCs (Least developed countries),1995,44.17099999999997,6.186000000000002
162,LDCs: Africa,1995,41.44399999999998,0.4640000000000003
163,LDCs: Africa and Haiti,1995,41.44399999999998,0.4640000000000003
164,LDCs: Asia,1995,2.7269999999999976,5.706999999999998
165,LIFDC (Low-income food-deficit countries) (FAO),1995,1228.083,91.31499999999996
166,LLDCs (Landlocked developing countries),1995,125.33500000000004,23.79
167,LMMC (Like-Minded Megadiverse Countries),1995,16800.29499999999,8503.120000000003
168,Latin America and the Caribbean,1995,1215.6620000000007,7754.931999999998
169,Latvia,1995,31.396,77.93499999999999
170,Lithuania,1995,119.77799999999998,7.7170000000000005
171,Lower-middle-income economies (World Bank),1995,1505.413,147.2280000000001
172,MERCOSUR (Southern Common Market),1995,137.80700000000004,392.977
173,MRU (Mano River Union),1995,18.236999999999995,1.7039999999999988
174,Major net food-exporting economies,1995,17699.813,27542.41300000002
175,Major net food-importing economies,1995,59202.63799999999,58575.009000000005
176,Malaysia,1995,170.10599999999994,455.1059999999995
177,Malta,1995,0.0,14.458999999999998
178,Mauritius,1995,0.8320000000000005,0.2800000000000002
179,Mexico,1995,654.8370000000001,7238.0449999999955
180,Middle Africa,1995,1.2959999999999994,2.6039999999999996
181,Middle-income developing economies,1995,1676.1750000000006,333.88200000000023
182,"Moldova, Republic of",1995,3.313999999999999,0.42400000000000027
183,Morocco,1995,140.5700000000001,0.038
184,NAFTA (North American Free Trade Agreement),1995,9662.719999999992,20752.90000000001
185,Nagoya Protocol on Access and Benefit Sharing,1995,30960.31700000001,26600.75000000001
186,Net food-exporting developed economies,1995,14983.280000000008,19072.19400000002
187,Net food-exporting developing economies,1995,2914.1759999999977,8588.903999999999
188,Net food-exporting economies,1995,17897.46599999999,27661.094000000034
189,Net food-importing developed economies,1995,7703.296,12360.533999999996
190,Net food-importing developing economies,1995,52152.03700000001,47206.61399999995
191,Net food-importing economies,1995,59855.34200000001,59567.14499999997
192,Netherlands,1995,2718.7219999999993,3890.2960000000003
193,New Zealand,1995,5.4620000000000015,92.04800000000004
194,Nicaragua,1995,7.311999999999995,23.525
195,North Macedonia,1995,2.444,6.014000000000001
196,Northern Africa,1995,223.12599999999992,53.51099999999997
197,Northern America,1995,9007.877999999995,13514.857000000004
198,Northern America and Europe,1995,22518.776999999962,27139.805000000008
199,Northern Europe,1995,3274.087000000001,2281.8190000000013
200,Norway,1995,65.33999999999999,142.24000000000004
201,OAS (Organization of American States),1995,10223.52799999999,21269.788999999997
202,OECD (Organisation for Economic Cooperation and Development),1995,24106.013999999996,39208.25999999998
203,OECS (Organisation of Eastern Caribbean States),1995,0.09600000000000006,0.3100000000000001
204,OIC (Organisation of Islamic Cooperation),1995,1063.592,942.792
205,OPEC (Organization of the Petroleum Exporting Countries),1995,243.21200000000013,295.205
206,Oceania,1995,62.60400000000005,600.4060000000003
207,Panama,1995,7.878000000000003,8.151000000000003
208,Paraguay,1995,2.6950000000000007,16.599
209,Poland,1995,104.128,301.92200000000014
210,Portugal,1995,134.9089999999999,143.61500000000007
211,Romania,1995,0.6710000000000004,58.687999999999995
212,SAARC (South Asian Association for Regional Cooperation),1995,1096.2020000000005,63.17600000000003
213,SADC (Southern African Development Community),1995,70.76100000000002,1.0670000000000006
214,SIDS (Small island developing States) (UN-OHRLLS),1995,162.39799999999997,694.9909999999998
215,SIDS (Small island developing States) (analytical),1995,0.9710000000000006,0.5900000000000003
216,SIDS: Atlantic and Indian Ocean,1995,0.8560000000000005,0.2800000000000002
217,SIDS: Caribbean,1995,0.12000000000000004,0.3100000000000001
218,Saint Lucia,1995,0.09600000000000006,0.3100000000000001
219,Saudi Arabia,1995,225.09300000000013,150.00199999999998
220,Selected LIFDC (Low-income food-deficit countries),1995,1149.8689999999997,88.38799999999996
221,Selected exporters of agricultural products,1995,165.58900000000006,257.83700000000016
222,Selected exporters of manufactured goods,1995,53932.598,54890.78499999999
223,Selected exporters of manufactured goods and primary commodities,1995,15899.986000000003,8611.294000000004
224,Selected exporters of minerals and mining products,1995,100.78000000000004,25.283999999999985
225,Selected exporters of petroleum,1995,342.02000000000004,322.87499999999983
226,Singapore,1995,161.43499999999992,694.3979999999996
227,Slovakia,1995,7.570000000000002,118.77699999999999
228,Slovenia,1995,32.755,118.67199999999994
229,South America,1995,416.15200000000004,446.51199999999994
230,South-eastern Asia,1995,524.736,1522.5600000000002
231,Southern Asia,1995,1096.2020000000005,63.17600000000003
232,Southern Europe,1995,4632.693000000004,1013.6459999999997
233,Spain,1995,717.959,197.407
234,Sub-Saharan Africa,1995,124.02200000000005,5.3759999999999994
235,Sub-Saharan Africa excluding South Africa,1995,124.02200000000005,5.3759999999999994
236,Sweden,1995,134.28300000000002,560.379
237,"Switzerland, Liechtenstein",1995,614.2909999999998,976.1609999999994
238,TPP (Trans-Pacific Partnership),1995,3789.258,14860.757000000001
239,Thailand,1995,57.13799999999999,223.8329999999999
240,Trinidad and Tobago,1995,0.024000000000000014,0.0
241,Tunisia,1995,0.34800000000000014,13.476000000000012
242,Turkey,1995,269.7060000000001,120.77600000000002
243,UNASUR (Union of South American Nations),1995,23.708999999999993,145.20699999999997
244,UNECE (Economic Commission for Europe),1995,22788.477999999974,27260.569000000007
245,"UNECE: Eastern Europe, Caucasus and Central Asia",1995,3.313999999999999,0.42400000000000027
246,UNECE: West Balkans,1995,22.784999999999997,27.899999999999995
247,United Kingdom,1995,745.0339999999999,1194.795
248,United Nations member States,1995,41061.044000000016,41934.39100000002
249,United States,1995,6473.583999999999,11359.38700000001
250,Upper-middle-income economies (World Bank),1995,16013.434000000001,8986.903000000006
251,Uruguay,1995,2.032000000000001,23.893000000000008
252,Venezuela (Bolivarian Rep. of),1995,4.7860000000000005,145.20699999999997
253,WAEMU (West African Economic and Monetary Union),1995,29.800999999999988,1.7039999999999988
254,Western Africa,1995,29.80199999999999,1.7039999999999988
255,Western Asia,1995,499.2339999999999,274.92800000000005
256,Western Asia and Northern Africa,1995,722.361,328.44400000000013
257,Western Europe,1995,5145.911,9424.850999999995
258,World,1995,77752.80400000003,87228.24399999993
259,Zambia,1995,0.004,0.4640000000000003
260,Zimbabwe,1995,63.59299999999997,0.3000000000000002
261,"ACP (African, Caribbean and Pacific Group of States)",1996,85.266,22.89699999999999
262,ACP: Africa,1996,83.46899999999997,17.286000000000005
263,ACP: Caribbean,1996,1.7939999999999998,5.611999999999998
264,ACP: Central Africa,1996,5.1119999999999965,2.1929999999999996
265,ACP: Eastern Africa,1996,6.8119999999999985,1.829
266,ACP: Islands States,1996,5.929999999999992,7.394
267,ACP: LDCs,1996,13.579999999999998,1.5689999999999995
268,ACP: LLDCs,1996,5.973000000000001,1.5689999999999995
269,ACP: Western Africa,1996,71.01100000000004,13.247
270,ACS (Association of Caribbean States),1996,1838.332999999999,5823.928000000001
271,"ADB (African Development Bank), developing member countries",1996,7892.4790000000075,1297.9219999999978
272,ADB: Group A,1996,0.0,0.0
273,ADB: Group B,1996,1031.4740000000002,66.50599999999994
274,ADB: Group C,1996,6860.992000000001,1231.4109999999978
275,ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty),1996,19.606,163.00600000000003
276,AMU (Arab Maghreb Union),1996,144.60199999999995,25.181
277,APEC (Asia-Pacific Economic Cooperation),1996,49951.814000000006,57998.16500000002
278,APTA (Asia-Pacific Trade Agreement),1996,7293.444000000006,484.3969999999998
279,ASEAN (Association of Southeast Asian Nations),1996,1044.7389999999991,1668.0839999999985
280,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",1996,7465.534,6351.507999999999
281,Africa,1996,265.36000000000007,48.16999999999999
282,Africa excluding South Africa,1996,265.36000000000007,48.16999999999999
283,African Union,1996,265.36000000000007,48.16999999999999
284,Albania,1996,8.349999999999998,2.198000000000001
285,America,1996,11799.644000000006,17300.877000000004
286,Andorra,1996,0.0,0.013
287,Argentina,1996,25.457000000000004,64.067
288,Asia,1996,40175.34000000002,44211.90199999995
289,Asia and Oceania,1996,40215.699000000015,44612.203999999976
290,Australia,1996,35.225999999999985,299.09900000000005
291,Austria,1996,271.4669999999999,257.262
292,Azerbaijan,1996,5.9289999999999985,0.37200000000000016
293,BASIC,1996,7077.443000000007,374.11400000000003
294,BRICS,1996,7084.949000000002,795.9029999999999
295,Bangladesh,1996,2.0069999999999992,15.73999999999999
296,BioTrade countries,1996,29873.415000000015,33278.22200000002
297,Bolivia (Plurinational State of),1996,33.14500000000002,0.001
298,Brazil,1996,63.39599999999995,103.98299999999992
299,Bulgaria,1996,83.94300000000003,80.31800000000001
300,CACM (Central American Common Market),1996,498.48500000000024,220.1790000000001
301,CAN (Andean Community),1996,150.15399999999988,6.293000000000003
302,CARICOM (Caribbean Community),1996,1.7939999999999998,3.5250000000000012
303,CBD (Convention on Biological Diversity),1996,37440.075000000026,44846.154999999984
304,CEMAC (Economic and Monetary Community of Central Africa),1996,5.1119999999999965,2.1929999999999996
305,CEN-SAD (Community of Sahel-Saharan States),1996,237.39799999999997,44.12899999999999
306,CIS (Commonwealth of Independent States),1996,16.790999999999997,422.9419999999999
307,CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora),1996,37440.07400000002,44846.14199999998
308,COMESA (Common Market for Eastern and Southern Africa),1996,75.287,32.715999999999994
309,Cameroon,1996,3.6619999999999986,2.1929999999999996
310,Canada,1996,2675.954999999997,2155.0559999999996
311,Caribbean,1996,1.4239999999999997,5.606999999999998
312,Central America,1996,1771.6079999999993,5669.340000000003
313,Central Asia,1996,0.0,0.0
314,Central and Southern Asia,1996,1031.4730000000002,66.50599999999994
315,Chile,1996,71.42800000000003,9.189999999999998
316,China,1996,5984.582999999997,219.36599999999981
317,"China, Hong Kong SAR",1996,31363.877999999993,34094.796
318,"China, Macao SAR",1996,2.717000000000001,24.824
319,Colombia,1996,61.81299999999997,5.3619999999999965
320,Costa Rica,1996,343.6349999999997,158.66000000000005
321,Croatia,1996,22.964,19.60499999999999
322,Cyprus,1996,0.14300000000000004,8.074
323,Czechia,1996,354.23699999999974,128.97399999999996
324,Côte d'Ivoire,1996,14.203999999999985,11.71200000000001
325,Denmark,1996,440.4450000000002,235.727
326,Developed economies: Asia,1996,158.82999999999996,7711.985999999998
327,Developed economies: Asia and Oceania,1996,199.17399999999992,8109.973
328,Developed economies: Oceania,1996,40.35600000000001,397.9880000000003
329,Developed regions (M49),1996,26435.374000000003,36390.67899999997
330,Developing economies excluding China,1996,36386.70900000004,42359.10500000001
331,Developing economies excluding LDCs,1996,42355.72100000005,42561.16900000003
332,Developing economies: Asia,1996,40016.51100000004,36499.916999999965
333,Developing economies: Asia and Oceania,1996,40016.52200000004,36502.22999999998
334,Developing economies: Oceania,1996,0.0,2.3129999999999993
335,Developing regions (M49),1996,42371.29100000001,42578.47100000002
336,EAC (East African Community),1996,2.313,0.04400000000000003
337,ECA (Economic Commission for Africa),1996,265.36000000000007,48.16999999999999
338,ECA: Central Africa,1996,5.1119999999999965,2.1929999999999996
339,ECA: Eastern Africa,1996,6.026,0.04400000000000003
340,ECA: Island economies,1996,4.501999999999999,1.7849999999999995
341,ECA: Landlocked LDCs,1996,5.973000000000001,1.5689999999999995
342,ECA: Landlocked countries,1996,5.973000000000001,1.5689999999999995
343,ECA: Least developed countries,1996,13.579999999999998,1.5689999999999995
344,ECA: Mineral-rich countries,1996,27.016000000000027,1.5250000000000004
345,ECA: Non-oil LDCs,1996,13.024999999999999,1.5689999999999995
346,ECA: Non-oil Producing,1996,175.87500000000017,34.01100000000001
347,ECA: North Africa,1996,182.443,30.886000000000006
348,ECA: Oil LDCs,1996,2.876,0.23000000000000012
349,ECA: Oil producing economies,1996,89.4819999999999,14.173000000000007
350,ECA: Sahel,1996,59.088000000000015,3.754000000000001
351,ECA: Small island States,1996,0.8080000000000005,1.7849999999999995
352,ECA: Southern Africa,1996,0.8070000000000005,1.7849999999999995
353,ECA: West Africa,1996,71.01100000000004,13.247
354,ECCAS (Economic Community of Central African States),1996,5.137999999999996,2.1929999999999996
355,ECLAC (Economic Commission for Latin America and the Caribbean),1996,2089.402999999999,6028.045000000002
356,ECLAC: Caribbean,1996,1.7939999999999998,3.5250000000000012
357,ECLAC: Latin America,1996,2087.611,6024.524000000001
358,ECO (Economic Cooperation Organization),1996,166.90200000000013,75.31600000000003
359,ECOWAS (Economic Community of West African States),1996,71.01100000000004,13.247
360,EFTA (European Free Trade Association),1996,552.9379999999995,1111.1049999999996
361,EIEs (Emerging Industrial Economies) (UNIDO),1996,9957.141999999996,7410.931000000003
362,ESCAP (Economic and Social Commission for Asia and the Pacific),1996,40078.36000000002,41435.02500000002
363,ESCAP: Africa,1996,265.36000000000007,48.16999999999999
364,ESCAP: Countries with special needs,1996,7.948000000000001,18.411000000000005
365,ESCAP: East and North-East Asia (ENEA),1996,37787.37300000003,38803.04199999999
366,"ESCAP: East and North-East Asia, incl. the Russian Federation",1996,37794.88900000003,39224.81399999997
367,ESCAP: Europe,1996,16518.45100000001,16586.13700000002
368,ESCAP: High-income economies (World Bank),1996,32017.410999999986,39640.37899999997
369,ESCAP: Landlocked developing countries,1996,5.929999999999999,0.37200000000000016
370,ESCAP: Latin America,1996,2089.402999999999,6028.045000000002
371,ESCAP: Least developed countries,1996,2.0069999999999992,15.73999999999999
372,ESCAP: Lower-middle-income economies (World Bank),1996,1573.3460000000002,249.94599999999994
373,ESCAP: North and Central Asia,1996,13.447999999999997,422.1339999999998
374,ESCAP: Other area,1996,144.84699999999998,3598.940000000002
375,ESCAP: Pacific,1996,40.361000000000004,400.3050000000001
376,ESCAP: Pacific island developing economies (PIDE),1996,0.0,2.3129999999999993
377,ESCAP: Small islands developing States,1996,174.2700000000001,658.7109999999998
378,ESCAP: South and South-West Asia,1996,1192.4370000000006,141.46299999999994
379,ESCAP: Upper-middle-income economies (World Bank),1996,6487.61,1544.7119999999986
380,ESCWA (Economic and Social Commission for Western Asia),1996,309.21300000000025,183.35499999999993
381,ESCWA: Arab countries,1996,327.28500000000037,183.35499999999993
382,ESCWA: Maghreb,1996,144.60199999999995,25.181
383,ESCWA: Mashreq,1996,37.274,5.700999999999998
384,EU15 (European Union 1995 … 2004),1996,15069.046000000004,14430.49800000001
385,EU25 (European Union 2004 … 2007),1996,15775.858999999995,15258.694999999994
386,EU27 (European Union 2007 … 2013),1996,15861.379999999994,15370.202
387,EU28 (European Union 2013 … 2020),1996,15884.343999999996,15389.804000000002
388,Eastern Africa,1996,6.8119999999999985,1.829
389,Eastern Asia,1996,37787.37300000003,38803.04199999999
390,Eastern Europe,1996,524.6839999999999,1083.5469999999998
391,Eastern and South-Eastern Asia,1996,38832.10600000002,40471.138999999996
392,Ecuador,1996,35.41900000000001,0.001
393,Egypt,1996,37.274,5.700999999999998
394,El Salvador,1996,59.82600000000002,10.438999999999998
395,Emerging markets,1996,42160.034000000036,43192.26400000002
396,Emerging markets: Africa,1996,88.05800000000004,5.700999999999998
397,Emerging markets: America,1996,1553.5279999999993,5798.537999999996
398,Emerging markets: Asia,1996,40005.86000000002,36459.00199999999
399,Emerging markets: Europe and Kazakhstan,1996,512.576,929.0189999999999
400,Estonia,1996,22.784,9.219999999999995
401,Euro area,1996,14094.474000000002,12916.076000000005
402,Europe,1996,16525.962000000003,17007.91300000001
403,European Union (2020 …),1996,15227.617999999999,14075.527
404,Faroe Islands,1996,0.0,1.0750000000000002
405,Finland,1996,19.309000000000008,34.441000000000024
406,France,1996,713.5939999999994,3127.186000000004
407,French Polynesia,1996,0.0,2.3129999999999993
408,G-77 (Group of 77),1996,9293.230000000007,2733.87
409,G20 (Group of Twenty),1996,34760.90699999999,38146.70199999996
410,G7 (Group of Seven),1996,17426.465000000004,25114.099000000017
411,G8 (Group of Eight),1996,17433.980000000007,25535.87200000001
412,GCC (The Cooperation Council for the Arab States of the Gulf),1996,144.84699999999998,152.47299999999996
413,GSTP (Global System of Trade Preferences among Developing Countries),1996,4201.788999999998,7808.326999999995
414,GSTP: Africa,1996,237.65899999999993,33.083
415,GSTP: Asia,1996,2353.5909999999985,1933.1319999999964
416,GSTP: Latin America,1996,1605.6339999999996,5823.029
417,Germany,1996,1553.6999999999994,4593.872000000001
418,Greece,1996,305.121,32.11099999999999
419,Guatemala,1996,46.855,13.232999999999997
420,HIPCs (Heavily indebted poor countries) (IMF),1996,91.95000000000002,37.36299999999999
421,High-income OECD members (World Bank),1996,26584.74500000001,35940.10099999996
422,High-income developing economies,1996,40350.72200000001,42046.02700000006
423,High-income economies (World Bank),1996,58318.77899999999,70984.91000000002
424,High-income non OECD members (World Bank),1996,31734.019999999993,35044.78000000001
425,Honduras,1996,10.993999999999996,3.024000000000002
426,Hungary,1996,14.105999999999995,46.931
427,IGAD (Intergovernmental Authority on Development),1996,2.514,0.04400000000000003
428,Iceland,1996,0.027000000000000017,29.361999999999995
429,India,1996,1029.4579999999999,50.771999999999984
430,Industrialized economies (UNIDO),1996,57864.412,71270.18599999999
431,Ireland,1996,1369.3540000000007,73.17199999999998
432,Israel,1996,0.0,3446.4649999999997
433,Italy,1996,4633.3560000000025,540.4399999999999
434,Jamaica,1996,1.4000000000000004,1.0320000000000003
435,Japan,1996,158.82999999999996,4265.528000000004
436,"Korea, Republic of",1996,277.383,198.5400000000002
437,Kyrgyzstan,1996,0.0,0.0
